Commodity,Country,UOM,Category,SubCategory,RowNumber,YearNum,FoodValue
Spices,VIETNAM,Million $,Coffee,Foods,42,2000,18.6
Spices,INDIA,Million $,Coffee,Foods,43,2000,91.7
Spices,MEXICO,Million $,Coffee,Foods,44,2000,29.8
Spices,CHINA,Million $,Coffee,Foods,45,2000,26.0
Spices,INDONESIA,Million $,Coffee,Foods,46,2000,132.3
Spices,SPAIN,Million $,Coffee,Foods,47,2000,17.5
Spices,PERU,Million $,Coffee,Foods,48,2000,1.4
Spices,MADAGASCAR,Million $,Coffee,Foods,49,2000,30.6
Spices,REST OF WORLD,Million $,Coffee,Foods,50,2000,172.6
Spices,WORLD,Million $,Coffee,Foods,51,2000,520.5
Spices,WORLD (Quantity),"1,000 mt",Coffee,Foods,52,2000,192.0
"Total coffee, tea, and spices",BRAZIL,Million $,Coffee,Foods,1,2001,233.3
"Total coffee, tea, and spices",COLOMBIA,Million $,Coffee,Foods,2,2001,318.8
"Total coffee, tea, and spices",SWITZERLAND,Million $,Coffee,Foods,3,2001,17.9
"Total coffee, tea, and spices",MEXICO,Million $,Coffee,Foods,4,2001,221.2
"Total coffee, tea, and spices",VIETNAM,Million $,Coffee,Foods,5,2001,89.8
"Total coffee, tea, and spices",CANADA,Million $,Coffee,Foods,6,2001,169.4
"Total coffee, tea, and spices",INDIA,Million $,Coffee,Foods,7,2001,92.7
"Total coffee, tea, and spices",REST OF WORLD,Million $,Coffee,Foods,8,2001,1257.6
"Total coffee, tea, and spices",WORLD,Million $,Coffee,Foods,9,2001,2400.7
"Total coffee, tea, and spices",WORLD (Quantity),"1,000 mt",Coffee,Foods,10,2001,1599.8
"Coffee beans, unroasted",BRAZIL,Million $,Coffee,Foods,11,2001,161.4
"Coffee beans, unroasted",COLOMBIA,Million $,Coffee,Foods,12,2001,301.3
"Coffee beans, unroasted",GUATEMALA,Million $,Coffee,Foods,13,2001,174.4
"Coffee beans, unroasted",HONDURAS,Million $,Coffee,Foods,14,2001,35.7
"Coffee beans, unroasted",PERU,Million $,Coffee,Foods,15,2001,48.0
"Coffee beans, unroasted",VIETNAM,Million $,Coffee,Foods,16,2001,75.3
"Coffee beans, unroasted",REST OF WORLD,Million $,Coffee,Foods,17,2001,560.9
"Coffee beans, unroasted",WORLD,Million $,Coffee,Foods,18,2001,1357.0
"Coffee beans, unroasted",WORLD (Quantity),"1,000 mt",Coffee,Foods,19,2001,1159.0
"Coffee, roasted and instant",SWITZERLAND,Million $,Coffee,Foods,20,2001,0.9
"Coffee, roasted and instant",CANADA,Million $,Coffee,Foods,21,2001,79.9
"Coffee, roasted and instant",ITALY,Million $,Coffee,Foods,22,2001,14.6
"Coffee, roasted and instant",COLOMBIA,Million $,Coffee,Foods,23,2001,4.8
"Coffee, roasted and instant",MEXICO,Million $,Coffee,Foods,24,2001,4.3
"Coffee, roasted and instant",REST OF WORLD,Million $,Coffee,Foods,25,2001,54.0
"Coffee, roasted and instant",WORLD,Million $,Coffee,Foods,26,2001,158.5
"Coffee, roasted and instant",WORLD (Quantity),"1,000 mt",Coffee,Foods,27,2001,38.2
Coffee extracts and preparations,MEXICO,Million $,Coffee,Foods,28,2001,32.8
Coffee extracts and preparations,BRAZIL,Million $,Coffee,Foods,29,2001,30.7
Coffee extracts and preparations,COLOMBIA,Million $,Coffee,Foods,30,2001,12.1
Coffee extracts and preparations,NETHERLANDS,Million $,Coffee,Foods,31,2001,33.4
Coffee extracts and preparations,REST OF WORLD,Million $,Coffee,Foods,32,2001,55.0
Coffee extracts and preparations,WORLD,Million $,Coffee,Foods,33,2001,164.0
Coffee extracts and preparations,WORLD (Quantity),"1,000 mt",Coffee,Foods,34,2001,34.1
Tea and mate,JAPAN,Million $,Coffee,Foods,35,2001,3.5
